Freddie Freeman,0.543518768,0.120977111,0.175682259,0.315480051,0.586501374,0.486819261,1.05354125,0.848900089,3,5,10.94085351
Matt Kemp,0.351728417,0.249882961,0.024953428,0.336071127,0.273184517,0.307677122,0.856960506,0.556304785,4,7,7.753126101
Matt Adams,0.444088077,0.181640567,0.083060683,0.336702871,0.430727919,0.393362704,0.988436274,0.719113772,5,0,8.243072395
Nick Markakis,0.38316785,0.143313209,0.103155493,0.328973658,0.202618446,0.392336569,0.922621381,0.543601439,6,14,6.538102706
Steven Souza Jr.,0.218500006,0.281623529,0,0.194346837,0.255139799,0.167946355,0.77532141,0.413108285,1,14,8.848548092
Corey Dickerson,0.561915084,0.085200262,0.062912067,0.424755282,0.505497866,0.482887552,1.076580334,0.866816221,2,0,11.73856111
Evan Longoria,0.186542283,0.14950407,0,0.195797283,0.158687755,0.148073525,0.530870015,0.337013388,3,0,6.093726208
Logan Morrison,0.589754545,0.093462694,0.15263391,0.333285478,0.631596361,0.508897327,1.009957088,0.894739355,4,6,10.26786568
Brad Miller,0.468127912,0.10959378,0.22364581,0.3194337,0.239005236,0.490549423,1.560451673,0.669090909,6,6,9.204689355
Peter Bourjos,0.155941399,0.307499401,0,0.177192795,0.173603867,0.113052121,0.374537503,0.295249664,9,3,0.689647987
Rajai Davis,0.269213587,0.165869151,0.171556309,0.24304041,0.087915008,0.319168144,0.64341492,0.288817001,1,18,8.72640767
Ryon Healy,0.464396603,0.179602077,0.05568483,0.386081772,0.342866817,0.425796489,1.03464175,0.692813194,3,0,9.975876408
Khris Davis,0.292363808,0.272298526,0.272652575,0.249910475,0.130843639,0.357021323,0.691582307,0.308407989,4,20,6.885438668
Jed Lowrie,0.304942554,0.206499752,0.120190483,0.304999812,0.128704757,0.337627014,0.732743229,0.375013057,5,2,6.128764331
Adam Rosales,0.344550546,0.214381374,0.147800397,0.352402277,0.147926225,0.381580709,0.811787493,0.429861023,7,0,5.159671845
Josh Phegley,0.279750762,0.146303834,0,0.224411076,0.193586349,0.258483965,0.706634538,0.417710362,8,3,3.270129705
Bryce Harper,0.427110923,0.128618434,0.162654777,0.316674832,0.308830499,0.441002201,1.162325316,0.645927785,3,30,10.21298501
Ryan Zimmerman,0.447034531,0.17895217,0.07278198,0.363418572,0.369831489,0.397140778,0.984100233,0.691158855,4,5,8.944158386
Daniel Murphy,0.382002938,0.059532877,0.071009131,0.315709234,0.229565865,0.384584327,1.001231,0.573980169,5,0,7.526482417
Anthony Rendon,0.444975493,0.118785791,0.138096363,0.308002576,0.357355962,0.4225,0.979173452,0.657273185,6,17,7.290720625
Matt Wieters,0.251500983,0.153085815,0.056860531,0.260986345,0.103008052,0.276867426,0.596171182,0.330861199,8,6,2.792997346
Cameron Maybin,0.520867867,0.050370672,0.207910484,0.326375537,0.37753678,0.521360987,1.336408621,0.753609333,1,3,13.01006051
Kole Calhoun,0.61013743,0.081664843,0.194136916,0.500249523,0.421813917,0.590706032,1.793311784,1,2,5,14.59909867
Mike Trout,0.672735317,0.059335603,0.229139938,0.451398048,0.670806763,0.636219536,0.904192262,0.932028467,3,16,11.56443026
Albert Pujols,0.487962809,0.040076899,0.085052584,0.333430967,0.368941989,0.46251031,1.394826788,0.774720556,4,0,10.43516828
Yunel Escobar,0.511640118,0.032610365,0.110661463,0.353229978,0.344149916,0.495419568,1.347858908,0.768132569,5,0,9.636234995
Andrelton Simmons,0.543355579,0.026547865,0.076880458,0.403196777,0.367206972,0.518031013,1.197424943,0.809527686,6,0,8.628862515
Martin Maldonado,0.478240409,0.065689019,0.035392651,0.355540867,0.360212534,0.443013449,1.515965597,0.756738861,8,14,7.439923126
Francisco Lindor,0.395025452,0.06638846,0.043627343,0.35119266,0.233697834,0.38071185,0.924590789,0.582804547,2,2,9.757796366
Michael Brantley,0.213418381,0.069870414,0.0551015,0.251630246,0.025247148,0.274137568,0.450033066,0.215583051,3,3,5.929377007
Edwin Encarnacion,0.408293217,0.118027863,0.110657924,0.346061223,0.214961498,0.444357972,0.926612991,0.523430493,4,5,8.31891339
Jose Ramirez,0.379676066,0.071313778,0.034389197,0.355294784,0.225996474,0.365493354,0.909610726,0.575977426,5,0,7.213012118
Yan Gomes,0.41644188,0.107259951,0.065447333,0.295549724,0.338495152,0.382739097,0.962840784,0.636501437,7,3,6.110616001
Bradley Zimmer,0.203397927,0.105903113,0.021426083,0.239213095,0.03824318,0.245110328,0.420816217,0.217881151,8,8,1.723669895
Denard Span,0.320134986,0.150884223,0.104810467,0.240538375,0.211538483,0.324614963,0.776043259,0.44122816,1,5,9.553510086
Eduardo Nunez,0.249049078,0.137477011,0.058827095,0.238999563,0.076077622,0.282388177,0.545415625,0.274702492,2,10,7.300693338
Brandon Belt,0.349089417,0.268330735,0.250072942,0.226099366,0.287512176,0.36085611,0.862188845,0.477999731,3,2,8.741855732
